Generated by pymatgen.io.lammps.data.LammpsData

24948  atoms

    1  atom types

0.000000 54.504395  xlo xhi
0.000000 63.033596  ylo yhi
0.000000 104.937693  zlo zhi
1.432581 0.000000 0.000000  xy xz yz

Masses

1  55.85

Atoms

2080   1  1.131964  2.844214 11.957648
4159   1  2.648389  0.512799 11.964084
14554  1  3.609437  2.844213 11.957648
16643  1  0.170916  0.512800 11.964084
2179   1  0.960717  2.846072 16.024614
4258   1  2.460930  0.533909 16.046872
14653  1  3.438190  2.846071 16.024614
20890  1  1.791036  1.679645 13.994301
2278   1  0.869011  2.860013 20.092697
4357   1  2.388629  0.544030 20.106867
14752  1  3.346484  2.860012 20.092696
20989  1  1.664821  1.696568 18.068837
2377   1  0.825903  2.868235 24.149492
4456   1  2.355868  0.549656 24.156251
14851  1  3.303376  2.868235 24.149492
21088  1  1.607015  1.706143 22.127024
2476   1  0.814927  2.871125 28.200887
4555   1  2.342053  0.552644 28.201058
14950  1  3.292400  2.871125 28.200887
21187  1  1.582498  1.711046 26.176761
21286  1  1.581949  1.712095 30.223974
2575   1  0.838269  2.868092 32.253944
4654   1  2.344315  0.553349 32.245399
15049  1  3.315741  2.868091 32.253944
21385  1  1.616323  1.708712 34.275094
2674   1  0.930613  2.855037 36.321384
4753   1  2.381384  0.552547 36.293864
15148  1  3.408086  2.855037 36.321383
21484  1  1.764999  1.693908 38.347991
2773   1  1.195163  2.868486 40.389555
4852   1  2.684704  0.563274 40.366849
15247  1  3.672636  2.868486 40.389555
21583  1  2.295871  1.755783 42.404210
17336  1  0.207232  0.563274 40.366849
2872   1  1.568747  2.925348 44.409736
4951   1  3.379864  0.574721 44.373656
21682  1  2.534171  1.743309 46.394330
17435  1  0.902391  0.574722 44.373656
9218   1  0.056698  1.743309 46.394330
2971   1  1.706526  2.909883 48.417077
5050   1  3.434979  0.567540 48.400777
21781  1  2.590166  1.735566 50.425919
17534  1  0.957506  0.567540 48.400778
9317   1  0.112694  1.735567 50.425919
5149   1  0.970885  0.564890 52.444691
15544  1  1.758469  2.903625 52.451115
17623  1  3.448358  0.564890 52.444691
5248   1  0.974454  0.563655 56.492324
9406   1  2.612008  1.733388 54.469648
15643  1  1.784452  2.903000 56.494338
17722  1  3.451927  0.563655 56.492323
21880  1  0.134536  1.733388 54.469648
5347   1  0.973838  0.563185 60.540878
9505   1  2.622195  1.733383 58.516635
15742  1  1.798308  2.904369 60.540505
17821  1  3.451311  0.563185 60.540877
21979  1  0.144722  1.733383 58.516635
5446   1  0.970565  0.563357 64.589816
9604   1  2.625876  1.734162 62.564628
15841  1  1.803775  2.906091 64.587898
17920  1  3.448038  0.563357 64.589816
22078  1  0.148404  1.734163 62.564628
5545   1  0.964892  0.564191 68.639116
9703   1  2.624547  1.735320 66.613196
15940  1  1.802172  2.908013 68.635976
18019  1  3.442365  0.564191 68.639116
22177  1  0.147075  1.735320 66.613196
5644   1  0.956376  0.565765 72.688316
9802   1  2.618516  1.737022 70.661995
16039  1  1.793652  2.910628 72.683913
18118  1  3.433849  0.565765 72.688316
22276  1  0.141043  1.737022 70.661996
9901   1  2.607099  1.739598 74.710062
22375  1  0.129627  1.739598 74.710062
5743   1  0.943733  0.568215 76.736261
10000  1  2.588071  1.743385 78.755719
16138  1  1.776874  2.914457 76.730180
18217  1  3.421206  0.568215 76.736261
22474  1  0.110599  1.743385 78.755719
5842   1  0.924061  0.571852 80.781124
10099  1  2.556247  1.748816 82.796669
16237  1  1.748053  2.919861 80.772613
18316  1  3.401534  0.571852 80.781124
22573  1  0.078775  1.748816 82.796669
