Generated by pymatgen.io.lammps.data.LammpsData

128  atoms

  2  atom types

0.000000 11.321486  xlo xhi
0.000000 11.321486  ylo yhi
0.000000 11.321486  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847
2   4.001

Atoms

1    2 -0.061638 -0.034978  0.053573
2    1  9.880599  9.906024  9.912884
3    1  9.853296  9.898133  1.424897
4    1  9.891483  1.433044  9.921060
5    1  9.866486  1.447874  1.417698
6    1  1.417564  9.895316  9.892820
7    1  1.399237  9.902463  1.392215
8    1  1.415968  1.425236  9.907836
9    1  1.410407  1.432403  1.393530
10   1  8.415543  0.018203  0.010035
11   1 -0.025416  8.437897 -0.007676
12   1 -0.005127  0.000431  8.470196
13   1 -0.027925  0.016818  2.841455
14   1 -0.008184  2.891221  0.000097
15   1  2.873873  0.007328 -0.020764
16   1  8.448523  8.497543  0.006107
17   1  8.471941  0.019063  8.508963
18   1  8.443729  0.025316  2.829356
19   1  8.470365  2.865972  0.005240
20   1 -0.016405  8.471250  8.503195
21   1 -0.029201  8.485943  2.812949
22   1 -0.005496  2.846780  8.502810
23   1 -0.007987  2.861189  2.806659
24   1  2.831640  8.483062 -0.016845
25   1  2.851776  0.007353  8.495721
26   1  2.811183  0.015057  2.810559
27   1  2.848670  2.847250 -0.005367
28   1  7.044271  9.924179  9.913385
29   1  7.028917  9.924136  1.429120
30   1  7.053646  1.450617  9.918109
31   1  7.039752  1.451718  1.420981
32   1  9.869133  7.060604  9.917463
33   1  9.864315  7.070394  1.418100
34   1  9.892152  9.903550  7.100236
35   1  9.870741  9.924402  4.225197
36   1  9.899378  1.429105  7.095317
37   1  9.880035  1.453194  4.217860
38   1  9.899105  4.271483  9.906558
39   1  9.896099  4.284074  1.408480
40   1  1.409823  7.052912  9.906720
41   1  1.408869  7.067717  1.405456
42   1  1.426406  9.893088  7.100257
43   1  1.382522  9.919726  4.222128
44   1  1.421327  1.422717  7.099712
45   1  1.400700  1.441947  4.219472
46   1  1.429843  4.256311  9.900183
47   1  1.429965  4.267407  1.405464
48   1  4.261305  9.900852  9.891752
49   1  4.234234  9.913347  1.407051
50   1  4.276681  1.435077  9.905553
51   1  4.254737  1.428733  1.408618
52   1  8.465579  8.496117  8.509729
53   1  8.443873  8.500625  2.840404
54   1  8.485299  2.852298  8.504360
55   1  8.466622  2.876228  2.820149
56   1  2.839106  8.470657  8.499013
57   1  2.804110  8.501499  2.818387
58   1  2.850903  2.834333  8.503031
59   1  2.831585  2.845324  2.813968
60   1  5.628194  0.027627  0.008221
61   1 -0.019215  5.646940  0.010375
62   1  0.004986 -0.003371  5.691818
66   1  7.050098  7.077584  9.922878
67   1  7.043902  7.086281  1.427727
68   1  7.060764  9.925790  7.095672
69   1  7.039627  9.937928  4.256216
70   1  7.070728  1.435169  7.091015
71   1  7.053352  1.456727  4.241376
72   1  7.071530  4.277543  9.912912
73   1  7.066697  4.294234  1.411862
74   1  9.883110  7.057336  7.107286
75   1  9.879133  7.078737  4.237186
76   1  9.902754  4.265780  7.085680
77   1  9.908174  4.282687  4.223109
78   1  1.411879  7.047695  7.107010
79   1  1.391806  7.080543  4.236367
80   1  1.424906  4.248258  7.093922
81   1  1.414994  4.266276  4.225983
82   1  4.259331  7.063087  9.908007
83   1  4.238767  7.085179  1.415321
84   1  4.263791  9.897292  7.092094
85   1  4.215251  9.925420  4.238193
86   1  4.278231  1.417824  7.092404
87   1  4.234032  1.428509  4.239068
88   1  4.278660  4.252627  9.912435
89   1  4.271666  4.253417  1.416146
90   1  5.634812  8.506274  0.010340
91   1  5.644717  0.026364  8.507432
92   1  5.626613  0.031194  2.840961
93   1  5.642526  2.871164  0.008738
94   1  8.459508  5.651080  0.015553
95   1  8.492241  0.009835  5.683377
98   1 -0.018245  5.634110  8.520935
99   1 -0.014097  5.660248  2.824161
100  1 -0.001407  8.477000  5.700136
102  1 -0.000966  2.837607  5.684616
106  1  2.837877  5.653254 -0.001008
107  1  2.841163  0.000883  5.690397
114  1  5.646870  8.500543  8.503877
115  1  5.632133  8.513715  2.851119
116  1  5.655082  2.859340  8.500227
117  1  5.648340  2.874652  2.828783
118  1  8.462240  5.641129  8.520120
119  1  8.461288  5.662879  2.842244
120  1  8.479380  8.493010  5.689886
122  1  8.494043  2.842143  5.670389
126  1  2.834348  5.632056  8.515059
127  1  2.828936  5.668417  2.833050
128  1  2.840034  8.471452  5.689960
130  1  2.844782  2.826100  5.687027
138  1  7.060279  7.075610  7.098375
139  1  7.046146  7.090414  4.261078
140  1  7.077591  4.262360  7.081686
141  1  7.072415  4.290106  4.239606
142  1  4.254064  7.049932  7.096711
143  1  4.226332  7.096748  4.247077
144  1  4.271787  4.242073  7.089424
145  1  4.252421  4.253158  4.239156
170  1  5.639354  5.666996  0.017354
171  1  5.653965  0.016341  5.675719
174  1 -0.010024  5.644343  5.694201
230  1  5.647335  5.659789  8.511167
231  1  5.647097  5.671062  2.845240
232  1  5.655448  8.502554  5.676504
234  1  5.663848  2.840393  5.666743
238  1  8.474134  5.649451  5.689011
242  1  2.832377  5.642432  5.685774
332  1  5.656699  5.660435  5.673506

