Generated by pymatgen.io.lammps.data.LammpsData

128  atoms

  2  atom types

0.000000 11.321486  xlo xhi
0.000000 11.321486  ylo yhi
0.000000 11.321486  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847
2   4.001

Atoms

1    2 0.003089 0.003089 0.003089
2    1 9.903378 9.903378 9.903378
3    1 9.903378 9.903378 1.424286
4    1 9.903378 1.424286 9.903378
5    1 9.903378 1.424286 1.424286
6    1 1.424286 9.903378 9.903378
7    1 1.424286 9.903378 1.424286
8    1 1.424286 1.424286 9.903378
9    1 1.424286 1.424286 1.424286
10   1 8.450625 0.003089 0.003089
11   1 0.003089 8.450625 0.003089
12   1 0.003089 0.003089 8.450625
13   1 0.003089 0.003089 2.877039
14   1 0.003089 2.877039 0.003089
15   1 2.877039 0.003089 0.003089
16   1 8.488028 8.488028 0.003089
17   1 8.488028 0.003089 8.488028
18   1 8.488028 0.003089 2.839636
19   1 8.488028 2.839636 0.003089
20   1 0.003089 8.488028 8.488028
21   1 0.003089 8.488028 2.839636
22   1 0.003089 2.839636 8.488028
23   1 0.003089 2.839636 2.839636
24   1 2.839636 8.488028 0.003089
25   1 2.839636 0.003089 8.488028
26   1 2.839636 0.003089 2.839636
27   1 2.839636 2.839636 0.003089
28   1 7.073478 9.904179 9.904179
29   1 7.073478 9.904179 1.423486
30   1 7.073478 1.423486 9.904179
31   1 7.073478 1.423486 1.423486
32   1 9.904179 7.073478 9.904179
33   1 9.904179 7.073478 1.423486
34   1 9.904179 9.904179 7.073478
35   1 9.904179 9.904179 4.254186
36   1 9.904179 1.423486 7.073478
37   1 9.904179 1.423486 4.254186
38   1 9.904179 4.254186 9.904179
39   1 9.904179 4.254186 1.423486
40   1 1.423486 7.073478 9.904179
41   1 1.423486 7.073478 1.423486
42   1 1.423486 9.904179 7.073478
43   1 1.423486 9.904179 4.254186
44   1 1.423486 1.423486 7.073478
45   1 1.423486 1.423486 4.254186
46   1 1.423486 4.254186 9.904179
47   1 1.423486 4.254186 1.423486
48   1 4.254186 9.904179 9.904179
49   1 4.254186 9.904179 1.423486
50   1 4.254186 1.423486 9.904179
51   1 4.254186 1.423486 1.423486
52   1 8.491201 8.491201 8.491201
53   1 8.491201 8.491201 2.836463
54   1 8.491201 2.836463 8.491201
55   1 8.491201 2.836463 2.836463
56   1 2.836463 8.491201 8.491201
57   1 2.836463 8.491201 2.836463
58   1 2.836463 2.836463 8.491201
59   1 2.836463 2.836463 2.836463
60   1 5.661034 0.003089 0.003089
61   1 0.003089 5.661034 0.003089
62   1 0.003089 0.003089 5.661034
66   1 7.075910 7.075910 9.907580
67   1 7.075910 7.075910 1.420084
68   1 7.075910 9.907580 7.075910
69   1 7.075910 9.907580 4.251754
70   1 7.075910 1.420084 7.075910
71   1 7.075910 1.420084 4.251754
72   1 7.075910 4.251754 9.907580
73   1 7.075910 4.251754 1.420084
74   1 9.907580 7.075910 7.075910
75   1 9.907580 7.075910 4.251754
76   1 9.907580 4.251754 7.075910
77   1 9.907580 4.251754 4.251754
78   1 1.420084 7.075910 7.075910
79   1 1.420084 7.075910 4.251754
80   1 1.420084 4.251754 7.075910
81   1 1.420084 4.251754 4.251754
82   1 4.251754 7.075910 9.907580
83   1 4.251754 7.075910 1.420084
84   1 4.251754 9.907580 7.075910
85   1 4.251754 9.907580 4.251754
86   1 4.251754 1.420084 7.075910
87   1 4.251754 1.420084 4.251754
88   1 4.251754 4.251754 9.907580
89   1 4.251754 4.251754 1.420084
90   1 5.661467 8.492169 0.003089
91   1 5.661467 0.003089 8.492169
92   1 5.661467 0.003089 2.835495
93   1 5.661467 2.835495 0.003089
94   1 8.492169 5.661467 0.003089
95   1 8.492169 0.003089 5.661467
98   1 0.003089 5.661467 8.492169
99   1 0.003089 5.661467 2.835495
100  1 0.003089 8.492169 5.661467
102  1 0.003089 2.835495 5.661467
106  1 2.835495 5.661467 0.003089
107  1 2.835495 0.003089 5.661467
114  1 5.660611 8.491586 8.491586
115  1 5.660611 8.491586 2.836079
116  1 5.660611 2.836079 8.491586
117  1 5.660611 2.836079 2.836079
118  1 8.491586 5.660611 8.491586
119  1 8.491586 5.660611 2.836079
120  1 8.491586 8.491586 5.660611
122  1 8.491586 2.836079 5.660611
126  1 2.836079 5.660611 8.491586
127  1 2.836079 5.660611 2.836079
128  1 2.836079 8.491586 5.660611
130  1 2.836079 2.836079 5.660611
138  1 7.076824 7.076824 7.076824
139  1 7.076824 7.076824 4.250840
140  1 7.076824 4.250840 7.076824
141  1 7.076824 4.250840 4.250840
142  1 4.250840 7.076824 7.076824
143  1 4.250840 7.076824 4.250840
144  1 4.250840 4.250840 7.076824
145  1 4.250840 4.250840 4.250840
170  1 5.662086 5.662086 0.003089
171  1 5.662086 0.003089 5.662086
174  1 0.003089 5.662086 5.662086
230  1 5.661817 5.661817 8.492815
231  1 5.661817 5.661817 2.834849
232  1 5.661817 8.492815 5.661817
234  1 5.661817 2.834849 5.661817
238  1 8.492815 5.661817 5.661817
242  1 2.834849 5.661817 5.661817
332  1 5.662271 5.662271 5.662271

