,iter,ntrans,curvature,ediff,ediffmax
0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,0.0
2,2.0,0.0,10.338,0.002,0.002
3,3.0,0.0,10.338,0.001,0.002
4,4.0,0.0,5.769,0.001,0.002
5,5.0,0.0,5.769,0.001,0.002
6,6.0,0.0,4.382,0.001,0.002
7,79.0,10.0,1.115,0.185,0.189
8,80.0,10.0,1.115,0.196,0.196
9,81.0,10.0,1.115,0.222,0.222
10,82.0,10.0,1.11,0.211,0.222
11,83.0,10.0,1.11,0.218,0.222
12,84.0,10.0,1.161,0.212,0.222
13,85.0,10.0,1.161,0.217,0.222
14,86.0,10.0,1.159,0.212,0.222
15,159.0,20.0,1.119,0.684,0.692
16,160.0,20.0,1.119,0.709,0.709
17,161.0,20.0,1.119,0.764,0.764
18,162.0,20.0,1.113,0.742,0.764
19,163.0,20.0,1.113,0.755,0.764
20,164.0,20.0,1.126,0.742,0.764
21,165.0,20.0,1.126,0.755,0.764
22,166.0,20.0,1.127,0.742,0.764
23,239.0,30.0,1.071,1.579,1.592
24,240.0,30.0,1.071,1.617,1.617
25,241.0,30.0,1.071,1.704,1.704
26,242.0,30.0,1.066,1.669,1.704
27,243.0,30.0,1.066,1.69,1.704
28,244.0,30.0,1.074,1.669,1.704
29,245.0,30.0,1.074,1.69,1.704
30,246.0,30.0,1.077,1.669,1.704
31,319.0,40.0,1.028,2.879,2.897
32,320.0,40.0,1.028,2.932,2.932
33,321.0,40.0,1.028,3.05,3.05
34,322.0,40.0,1.024,3.002,3.05
35,323.0,40.0,1.024,3.032,3.05
36,324.0,40.0,1.029,3.002,3.05
37,325.0,40.0,1.029,3.031,3.05
38,326.0,40.0,1.029,3.002,3.05
39,399.0,50.0,0.976,4.594,4.616
40,400.0,50.0,0.976,4.661,4.661
41,401.0,50.0,0.976,4.811,4.811
42,402.0,50.0,0.97,4.75,4.811
43,403.0,50.0,0.97,4.788,4.811
44,404.0,50.0,0.974,4.75,4.811
45,405.0,50.0,0.974,4.787,4.811
46,406.0,50.0,0.974,4.75,4.811
47,479.0,60.0,0.923,6.716,6.744
48,480.0,60.0,0.923,6.798,6.798
49,481.0,60.0,0.923,6.979,6.979
50,482.0,60.0,0.917,6.906,6.979
51,483.0,60.0,0.917,6.95,6.979
52,484.0,60.0,0.921,6.906,6.979
53,485.0,60.0,0.921,6.95,6.979
54,486.0,60.0,0.922,6.906,6.979
55,559.0,70.0,0.897,9.231,9.267
56,560.0,70.0,0.897,9.329,9.329
57,561.0,70.0,0.897,9.54,9.54
58,562.0,70.0,0.894,9.456,9.54
59,563.0,70.0,0.894,9.504,9.54
60,564.0,70.0,0.898,9.456,9.54
61,565.0,70.0,0.898,9.503,9.54
62,566.0,70.0,0.899,9.456,9.54
63,639.0,80.0,0.887,12.107,12.156
64,640.0,80.0,0.887,12.225,12.225
65,641.0,80.0,0.887,12.457,12.457
66,642.0,80.0,0.875,12.364,12.457
67,643.0,80.0,0.875,12.406,12.457
68,644.0,80.0,0.878,12.364,12.457
69,645.0,80.0,0.878,12.405,12.457
70,646.0,80.0,0.88,12.365,12.457
71,719.0,90.0,1.966,13.162,13.761
72,720.0,90.0,1.966,13.211,13.761
73,721.0,90.0,1.966,13.288,13.761
74,722.0,90.0,1.436,13.257,13.761
75,723.0,90.0,1.436,13.293,13.761
76,724.0,90.0,1.351,13.258,13.761
77,725.0,90.0,1.351,13.246,13.761
78,726.0,90.0,1.28,13.256,13.761
79,799.0,100.0,0.423,13.996,14.022
80,800.0,100.0,0.423,14.053,14.053
81,801.0,100.0,0.423,14.158,14.158
82,802.0,100.0,0.145,14.116,14.158
83,803.0,100.0,0.145,14.129,14.158
84,804.0,100.0,0.108,14.116,14.158
85,805.0,100.0,0.108,14.148,14.158
86,806.0,100.0,0.075,14.117,14.158
87,879.0,110.0,-0.674,12.668,14.263
88,880.0,110.0,-0.674,12.607,14.263
89,881.0,110.0,-0.674,12.468,14.263
90,882.0,110.0,-0.713,12.437,14.263
91,883.0,110.0,-0.713,12.462,14.263
92,884.0,110.0,-0.728,12.437,14.263
93,885.0,110.0,-0.728,12.467,14.263
94,886.0,110.0,-0.738,12.438,14.263
95,959.0,120.0,-1.071,10.681,14.263
96,960.0,120.0,-1.071,10.631,14.263
97,961.0,120.0,-1.071,10.5,14.263
