Generated by pymatgen.io.lammps.data.LammpsData

16000  atoms

    2  atom types

0.000000 57.106232  xlo xhi
0.000000 57.106232  ylo yhi
0.000000 57.106232  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.845
2   4.003

Atoms

1      1  0.000000  0.000000  0.000000
2      1  0.000000  0.000000  2.855289
3      1  0.000000  0.000000  5.710583
4      1  0.000000  0.000000  8.565881
5      1  0.000000  0.000000 11.421189
21     1  0.000000  2.855289  0.000000
22     1  0.000000  2.855289  2.855289
23     1  0.000000  2.855286  5.710580
24     1  0.000000  2.855286  8.565881
25     1  0.000000  2.855283 11.421187
41     1  0.000000  5.710583  0.000000
42     1  0.000000  5.710580  2.855286
43     1  0.000000  5.710578  5.710578
44     1  0.000000  5.710575  8.565878
45     1  0.000000  5.710572 11.421184
61     1  0.000000  8.565881  0.000000
62     1  0.000000  8.565881  2.855286
63     1  0.000000  8.565878  5.710575
64     1  0.000000  8.565872  8.565872
65     1  0.000000  8.565869 11.421178
81     1  0.000000 11.421189  0.000000
82     1  0.000000 11.421187  2.855283
83     1  0.000000 11.421184  5.710572
84     1  0.000000 11.421178  8.565869
85     1  0.000000 11.421175 11.421175
401    1  2.855289  0.000000  0.000000
402    1  2.855289  0.000000  2.855289
403    1  2.855286  0.000000  5.710580
404    1  2.855286  0.000000  8.565881
405    1  2.855283  0.000000 11.421187
421    1  2.855289  2.855289  0.000000
422    1  2.855289  2.855289  2.855289
423    1  2.855286  2.855286  5.710580
424    1  2.855283  2.855283  8.565878
425    1  2.855280  2.855280 11.421187
441    1  2.855286  5.710580  0.000000
442    1  2.855286  5.710580  2.855286
443    1  2.855283  5.710578  5.710578
444    1  2.855280  5.710572  8.565875
445    1  2.855277  5.710569 11.421181
461    1  2.855286  8.565881  0.000000
462    1  2.855283  8.565878  2.855283
463    1  2.855280  8.565875  5.710572
464    1  2.855275  8.565869  8.565869
465    1  2.855272  8.565863 11.421175
481    1  2.855283 11.421187  0.000000
482    1  2.855280 11.421187  2.855280
483    1  2.855277 11.421181  5.710569
484    1  2.855272 11.421175  8.565863
485    1  2.855266 11.421169 11.421169
801    1  5.710583  0.000000  0.000000
802    1  5.710580  0.000000  2.855286
803    1  5.710578  0.000000  5.710578
804    1  5.710575  0.000000  8.565878
805    1  5.710572  0.000000 11.421184
821    1  5.710580  2.855286  0.000000
822    1  5.710580  2.855286  2.855286
823    1  5.710578  2.855283  5.710578
824    1  5.710572  2.855280  8.565875
825    1  5.710569  2.855277 11.421181
841    1  5.710578  5.710578  0.000000
842    1  5.710578  5.710578  2.855283
843    1  5.710572  5.710572  5.710572
844    1  5.710563  5.710563  8.565866
845    1  5.710558  5.710558 11.421172
861    1  5.710575  8.565878  0.000000
862    1  5.710572  8.565875  2.855280
863    1  5.710563  8.565866  5.710563
864    1  5.710555  8.565858  8.565858
865    1  5.710543  8.565846 11.421161
881    1  5.710572 11.421184  0.000000
882    1  5.710569 11.421181  2.855277
883    1  5.710558 11.421172  5.710558
884    1  5.710543 11.421161  8.565846
885    1  5.710532 11.421149 11.421149
1201   1  8.565881  0.000000  0.000000
1202   1  8.565881  0.000000  2.855286
1203   1  8.565878  0.000000  5.710575
1204   1  8.565872  0.000000  8.565872
1205   1  8.565869  0.000000 11.421178
1221   1  8.565881  2.855286  0.000000
1222   1  8.565878  2.855283  2.855283
1223   1  8.565875  2.855280  5.710572
1224   1  8.565869  2.855275  8.565869
1225   1  8.565863  2.855272 11.421175
1241   1  8.565878  5.710575  0.000000
1242   1  8.565875  5.710572  2.855280
1243   1  8.565866  5.710563  5.710563
1244   1  8.565858  5.710555  8.565858
1245   1  8.565846  5.710543 11.421161
1261   1  8.565872  8.565872  0.000000
1262   1  8.565869  8.565869  2.855275
1263   1  8.565858  8.565858  5.710555
1264   1  8.565841  8.565841  8.565841
1265   1  8.565826  8.565826 11.421141
1281   1  8.565869 11.421178  0.000000
1282   1  8.565863 11.421175  2.855272
