Generated by pymatgen.io.lammps.data.LammpsData

129  atoms

  3  atom types

0.000000 11.321954  xlo xhi
0.000000 11.321954  ylo yhi
0.000000 11.321954  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.8450
2   4.0026
3  51.9961

Atoms

1    1 0.000000  0.849147  0.849147
2    1 0.000000  0.000000  2.830488
3    1 0.000000  0.000000  5.660977
4    1 0.000000  0.000000  8.491465
5    1 0.000000  2.830488  0.000000
6    1 0.000000  2.830488  2.830488
7    1 0.000000  2.830488  5.660977
8    1 0.000000  2.830488  8.491465
9    1 0.000000  5.660977  0.000000
10   1 0.000000  5.660977  2.830488
11   1 0.000000  5.660977  5.660977
12   1 0.000000  5.660977  8.491465
13   1 0.000000  8.491465  0.000000
14   1 0.000000  8.491465  2.830488
15   1 0.000000  8.491465  5.660977
16   1 0.000000  8.491465  8.491465
17   1 2.830488  0.000000  0.000000
18   1 2.830488  0.000000  2.830488
19   1 2.830488  0.000000  5.660977
20   1 2.830488  0.000000  8.491465
21   1 2.830488  2.830488  0.000000
22   1 2.830488  2.830488  2.830488
23   1 2.830488  2.830488  5.660977
24   1 2.830488  2.830488  8.491465
25   1 2.830488  5.660977  0.000000
26   1 2.830488  5.660977  2.830488
27   1 2.830488  5.660977  5.660977
28   1 2.830488  5.660977  8.491465
29   1 2.830488  8.491465  0.000000
30   1 2.830488  8.491465  2.830488
31   1 2.830488  8.491465  5.660977
32   1 2.830488  8.491465  8.491465
33   1 5.660977  0.000000  0.000000
34   1 5.660977  0.000000  2.830488
35   1 5.660977  0.000000  5.660977
36   1 5.660977  0.000000  8.491465
37   1 5.660977  2.830488  0.000000
38   1 5.660977  2.830488  2.830488
39   1 5.660977  2.830488  5.660977
40   1 5.660977  2.830488  8.491465
41   1 5.660977  5.660977  0.000000
42   1 5.660977  5.660977  2.830488
43   1 5.660977  5.660977  5.660977
44   1 5.660977  5.660977  8.491465
45   1 5.660977  8.491465  0.000000
46   1 5.660977  8.491465  2.830488
47   1 5.660977  8.491465  5.660977
48   1 5.660977  8.491465  8.491465
49   1 8.491465  0.000000  0.000000
50   1 8.491465  0.000000  2.830488
51   1 8.491465  0.000000  5.660977
52   1 8.491465  0.000000  8.491465
53   1 8.491465  2.830488  0.000000
54   1 8.491465  2.830488  2.830488
55   1 8.491465  2.830488  5.660977
56   1 8.491465  2.830488  8.491465
57   1 8.491465  5.660977  0.000000
58   1 8.491465  5.660977  2.830488
59   1 8.491465  5.660977  5.660977
60   1 8.491465  5.660977  8.491465
61   1 8.491465  8.491465  0.000000
62   1 8.491465  8.491465  2.830488
63   1 8.491465  8.491465  5.660977
64   1 8.491465  8.491465  8.491465
65   1 1.415244  1.415244  1.415244
66   1 1.415244  1.415244  4.245733
67   1 1.415244  1.415244  7.076221
68   1 1.415244  1.415244  9.906710
69   1 1.415244  4.245733  1.415244
70   1 1.415244  4.245733  4.245733
71   1 1.415244  4.245733  7.076221
72   1 1.415244  4.245733  9.906710
73   1 1.415244  7.076221  1.415244
74   1 1.415244  7.076221  4.245733
75   1 1.415244  7.076221  7.076221
76   1 1.415244  7.076221  9.906710
77   1 1.415244  9.906710  1.415244
78   1 1.415244  9.906710  4.245733
79   1 1.415244  9.906710  7.076221
80   1 1.415244  9.906710  9.906710
81   1 4.245733  1.415244  1.415244
82   1 4.245733  1.415244  4.245733
83   1 4.245733  1.415244  7.076221
84   1 4.245733  1.415244  9.906710
85   1 4.245733  4.245733  1.415244
86   1 4.245733  4.245733  4.245733
87   1 4.245733  4.245733  7.076221
88   1 4.245733  4.245733  9.906710
89   1 4.245733  7.076221  1.415244
90   1 4.245733  7.076221  4.245733
91   1 4.245733  7.076221  7.076221
92   1 4.245733  7.076221  9.906710
93   1 4.245733  9.906710  1.415244
94   1 4.245733  9.906710  4.245733
95   1 4.245733  9.906710  7.076221
96   1 4.245733  9.906710  9.906710
97   1 7.076221  1.415244  1.415244
98   1 7.076221  1.415244  4.245733
99   1 7.076221  1.415244  7.076221
100  1 7.076221  1.415244  9.906710
101  1 7.076221  4.245733  1.415244
102  1 7.076221  4.245733  4.245733
103  1 7.076221  4.245733  7.076221
104  1 7.076221  4.245733  9.906710
105  1 7.076221  7.076221  1.415244
106  1 7.076221  7.076221  4.245733
107  1 7.076221  7.076221  7.076221
108  1 7.076221  7.076221  9.906710
109  1 7.076221  9.906710  1.415244
110  1 7.076221  9.906710  4.245733
111  1 7.076221  9.906710  7.076221
112  1 7.076221  9.906710  9.906710
113  1 9.906710  1.415244  1.415244
114  1 9.906710  1.415244  4.245733
115  1 9.906710  1.415244  7.076221
116  1 9.906710  1.415244  9.906710
117  1 9.906710  4.245733  1.415244
118  1 9.906710  4.245733  4.245733
119  1 9.906710  4.245733  7.076221
120  1 9.906710  4.245733  9.906710
121  1 9.906710  7.076221  1.415244
122  1 9.906710  7.076221  4.245733
123  1 9.906710  7.076221  7.076221
124  1 9.906710  7.076221  9.906710
125  1 9.906710  9.906710  1.415244
126  1 9.906710  9.906710  4.245733
127  1 9.906710  9.906710  7.076221
128  1 9.906710  9.906710  9.906710
129  3 0.000000 -0.849147 -0.849147

