Generated by pymatgen.io.lammps.data.LammpsData

531  atoms

  2  atom types

0.000000 57.106232  xlo xhi
0.000000 57.106232  ylo yhi
0.000000 57.106232  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847
2   4.001

Atoms

1    0  2 -1.383557 -0.050231 -0.517870
2    0  1 -1.561116 -1.485365 -1.578844
3    0  1 -1.551306 -1.377150  1.398630
4    0  1 -1.457153  1.592647 -1.535016
5    0  1 -1.451147  1.510059  1.388256
6    0  1  1.238111 -1.416887 -1.441576
7    0  1  1.207474 -1.413832  1.366557
8    0  1  1.309020  1.361256 -1.429150
9    0  1  1.283781  1.338634  1.353804
10   0  1 -3.085894  0.124481 -0.002874
11   0  1 -0.168982 -2.886531 -0.036395
12   0  1 -0.086041  0.024671 -2.969177
13   0  1 -0.120845  0.014421  2.879278
14   0  1  0.010058  2.939410 -0.033120
15   0  1  2.753059 -0.087825 -0.023188
16   0  1 -2.966855 -2.811186 -0.022583
17   0  1 -2.923640  0.101237 -2.916918
18   0  1 -2.909444  0.095703  2.841518
19   0  1 -2.818522  3.007029 -0.028344
20   0  1 -0.078914 -2.874183 -2.921311
21   0  1 -0.138650 -2.839938  2.857075
22   0  1  0.045662  2.916810 -2.909204
23   0  1  0.017653  2.876083  2.846928
24   0  1  2.706425 -2.865543 -0.008319
25   0  1  2.769213 -0.049950 -2.868649
26   0  1  2.729466 -0.072007  2.830685
27   0  1  2.826752  2.748588 -0.008229
28   0  1 -4.342211 -1.356751 -1.472699
29   0  1 -4.347249 -1.361207  1.437872
30   0  1 -4.286485  1.597289 -1.476371
31   0  1 -4.294874  1.593247  1.432991
32   0  1 -1.531920 -4.280146 -1.465870
33   0  1 -1.539097 -4.266500  1.426111
34   0  1 -1.501528 -1.405597 -4.330182
35   0  1 -1.517497 -1.390206  4.294413
36   0  1 -1.446273  1.511917 -4.329766
37   0  1 -1.451567  1.487348  4.282980
38   0  1 -1.340211  4.393864 -1.466410
39   0  1 -1.345326  4.373042  1.422197
40   0  1  1.326434 -4.279028 -1.441109
41   0  1  1.296526 -4.270977  1.427736
42   0  1  1.370012 -1.435302 -4.317657
43   0  1  1.321207 -1.439536  4.283252
44   0  1  1.413960  1.424714 -4.315231
45   0  1  1.382708  1.395511  4.277551
46   0  1  1.506566  4.268428 -1.440899
47   0  1  1.493979  4.249394  1.425427
48   0  1  4.188621 -1.482561 -1.433003
49   0  1  4.166398 -1.493446  1.425184
50   0  1  4.223929  1.315545 -1.427219
51   0  1  4.209914  1.297550  1.416362
52   0  1 -2.961821 -2.851207 -2.921715
53   0  1 -2.927968 -2.810552  2.858436
54   0  1 -2.832870  3.009347 -2.911234
55   0  1 -2.813564  2.961598  2.844120
56   0  1  2.764789 -2.852596 -2.856272
57   0  1  2.718158 -2.856891  2.841943
58   0  1  2.846634  2.778507 -2.847908
59   0  1  2.823558  2.743847  2.828241
60   0  1 -5.713686  0.111061 -0.011886
61   0  1 -0.078160 -5.703602 -0.003494
62   0  1 -0.026079  0.018376 -5.737606
63   0  1 -0.044477  0.013347  5.721190
64   0  1  0.129215  5.746619 -0.004261
65   0  1  5.650544 -0.099054  0.002642
66   0  1 -4.327521 -4.268889 -1.434790
67   0  1 -4.326401 -4.257715  1.436914
68   0  1 -4.322903 -1.371069 -4.310732
69   0  1 -4.309801 -1.369030  4.284293
70   0  1 -4.289225  1.538343 -4.314073
71   0  1 -4.281176  1.517906  4.278291
72   0  1 -4.216352  4.430048 -1.444955
73   0  1 -4.214358  4.412062  1.427091
74   0  1 -1.473484 -4.288830 -4.308102
75   0  1 -1.494540 -4.267640  4.305258
76   0  1 -1.355920  4.363458 -4.323474
77   0  1 -1.371232  4.333855  4.289268
78   0  1  1.401889 -4.284402 -4.300635
79   0  1  1.348784 -4.270092  4.293576
80   0  1  1.503451  4.283057 -4.310194
81   0  1  1.484997  4.253118  4.286976
82   0  1  4.218131 -4.267837 -1.416305
83   0  1  4.200817 -4.271123  1.434374
84   0  1  4.248039 -1.444131 -4.285149
85   0  1  4.209058 -1.465547  4.277342
86   0  1  4.262173  1.374928 -4.282960
87   0  1  4.239010  1.336641  4.272365
88   0  1  4.310490  4.180270 -1.415805
89   0  1  4.309193  4.160414  1.429339
90   0  1 -5.732036 -2.809275 -0.002526
91   0  1 -5.717668  0.096666 -2.870286
92   0  1 -5.714773  0.088506  2.853446
93   0  1 -5.672777  2.999102 -0.009182
94   0  1 -2.903093 -5.706088  0.001204
95   0  1 -2.875120  0.054822 -5.732176
96   0  1 -2.880428  0.053617  5.713830
97   0  1 -2.746207  5.817547 -0.007545
98   0  1 -0.038122 -5.710011 -2.866584
99   0  1 -0.070380 -5.696984  2.868765
100  0  1 -0.031039 -2.853820 -5.729384
101  0  1 -0.059541 -2.841127  5.727212
102  0  1  0.027819  2.883523 -5.742114
103  0  1  0.015396  2.868469  5.712753
104  0  1  0.123918  5.750107 -2.879148
