,iter,ntrans,curvature,ediff,ediffmax
0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,0.0
2,2.0,0.0,10.234,0.002,0.002
3,3.0,0.0,10.234,0.001,0.002
4,4.0,0.0,5.659,0.001,0.002
5,5.0,0.0,5.659,0.001,0.002
6,6.0,0.0,4.212,0.001,0.002
7,79.0,10.0,1.043,0.182,0.185
8,80.0,10.0,1.043,0.193,0.193
9,81.0,10.0,1.043,0.219,0.219
10,82.0,10.0,1.032,0.208,0.219
11,83.0,10.0,1.032,0.215,0.219
12,84.0,10.0,1.062,0.208,0.219
13,85.0,10.0,1.062,0.214,0.219
14,86.0,10.0,1.053,0.209,0.219
15,159.0,20.0,0.989,0.647,0.655
16,160.0,20.0,0.989,0.67,0.67
17,161.0,20.0,0.989,0.719,0.719
18,162.0,20.0,0.985,0.699,0.719
19,163.0,20.0,0.985,0.71,0.719
20,164.0,20.0,0.99,0.699,0.719
21,165.0,20.0,0.99,0.71,0.719
22,166.0,20.0,0.989,0.699,0.719
23,239.0,30.0,0.956,1.437,1.451
24,240.0,30.0,0.956,1.474,1.474
25,241.0,30.0,0.956,1.55,1.55
26,242.0,30.0,0.953,1.519,1.55
27,243.0,30.0,0.953,1.536,1.55
28,244.0,30.0,0.953,1.519,1.55
29,245.0,30.0,0.953,1.536,1.55
30,246.0,30.0,0.954,1.519,1.55
31,319.0,40.0,0.934,2.593,2.613
32,320.0,40.0,0.934,2.644,2.644
33,321.0,40.0,0.934,2.75,2.75
34,322.0,40.0,0.931,2.707,2.75
35,323.0,40.0,0.931,2.73,2.75
36,324.0,40.0,0.931,2.707,2.75
37,325.0,40.0,0.931,2.73,2.75
38,326.0,40.0,0.932,2.707,2.75
39,399.0,50.0,0.898,4.127,4.152
40,400.0,50.0,0.898,4.192,4.192
41,401.0,50.0,0.898,4.326,4.326
42,402.0,50.0,0.894,4.272,4.326
43,403.0,50.0,0.894,4.302,4.326
44,404.0,50.0,0.894,4.272,4.326
45,405.0,50.0,0.894,4.301,4.326
46,406.0,50.0,0.895,4.272,4.326
47,479.0,60.0,0.858,6.031,6.06
48,480.0,60.0,0.858,6.109,6.109
49,481.0,60.0,0.858,6.271,6.271
50,482.0,60.0,0.852,6.206,6.271
51,483.0,60.0,0.852,6.242,6.271
52,484.0,60.0,0.853,6.206,6.271
53,485.0,60.0,0.853,6.241,6.271
54,486.0,60.0,0.854,6.206,6.271
55,559.0,70.0,0.817,8.293,8.327
56,560.0,70.0,0.817,8.383,8.383
57,561.0,70.0,0.817,8.573,8.573
58,562.0,70.0,0.813,8.497,8.573
59,563.0,70.0,0.813,8.538,8.573
60,564.0,70.0,0.814,8.497,8.573
61,565.0,70.0,0.814,8.538,8.573
62,566.0,70.0,0.814,8.497,8.573
63,639.0,80.0,0.788,10.898,10.938
64,640.0,80.0,0.788,11.003,11.003
65,641.0,80.0,0.788,11.218,11.218
66,642.0,80.0,0.784,11.132,11.218
67,643.0,80.0,0.784,11.177,11.218
68,644.0,80.0,0.784,11.132,11.218
69,645.0,80.0,0.784,11.177,11.218
70,646.0,80.0,0.785,11.132,11.218
71,719.0,90.0,0.757,13.833,13.877
72,720.0,90.0,0.757,13.948,13.948
73,721.0,90.0,0.757,14.188,14.188
74,722.0,90.0,0.754,14.092,14.188
75,723.0,90.0,0.754,14.143,14.188
76,724.0,90.0,0.755,14.092,14.188
77,725.0,90.0,0.755,14.143,14.188
78,726.0,90.0,0.755,14.092,14.188
79,799.0,100.0,0.734,17.077,17.125
80,800.0,100.0,0.734,17.204,17.204
81,801.0,100.0,0.734,17.467,17.467
82,802.0,100.0,0.73,17.361,17.467
83,803.0,100.0,0.73,17.418,17.467
84,804.0,100.0,0.731,17.361,17.467
85,805.0,100.0,0.731,17.418,17.467
86,806.0,100.0,0.73,17.361,17.467
87,879.0,110.0,0.698,20.62,20.671
88,880.0,110.0,0.698,20.756,20.756
89,881.0,110.0,0.698,21.041,21.041
90,882.0,110.0,0.695,20.927,21.041
91,883.0,110.0,0.695,20.989,21.041
92,884.0,110.0,0.695,20.927,21.041
93,885.0,110.0,0.695,20.989,21.041
94,886.0,110.0,0.695,20.927,21.041
95,959.0,120.0,0.659,24.435,24.49
96,960.0,120.0,0.659,24.581,24.581
97,961.0,120.0,0.659,24.885,24.885
