Generated by pymatgen.io.lammps.data.LammpsData

187  atoms

  3  atom types

0.000000 138.665064  xlo xhi
0.000000 2.451274  ylo yhi
0.000000 120.087493  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.8450
2   4.0026
3  51.9961

Atoms

253   1 55.466026 0.000000 48.034997
254   1 55.466026 0.000000 52.037913
255   1 55.466026 0.000000 56.040830
256   1 55.466026 0.000000 60.043746
257   1 55.466026 0.000000 64.046663
258   1 55.466026 0.000000 68.049579
259   1 55.466026 0.000000 72.052496
283   1 62.399279 0.000000 48.034997
284   1 62.399279 0.000000 52.037913
285   1 62.399279 0.000000 56.040830
286   1 62.399279 0.000000 60.043746
287   1 62.399279 0.000000 64.046663
288   1 62.399279 0.000000 68.049579
289   1 62.399279 0.000000 72.052496
313   1 69.332532 0.000000 48.034997
314   1 69.332532 0.000000 52.037913
315   1 69.332532 0.000000 56.040830
316   1 69.332532 0.000000 60.043746
317   1 69.332532 0.000000 64.046663
318   1 69.332532 0.000000 68.049579
319   1 69.332532 0.000000 72.052496
343   1 76.265785 0.000000 48.034997
344   1 76.265785 0.000000 52.037913
345   1 76.265785 0.000000 56.040830
346   1 76.265785 0.000000 60.043746
347   1 76.265785 0.000000 64.046663
348   1 76.265785 0.000000 68.049579
349   1 76.265785 0.000000 72.052496
373   1 83.199038 0.000000 48.034997
374   1 83.199038 0.000000 52.037913
375   1 83.199038 0.000000 56.040830
376   1 83.199038 0.000000 60.043746
377   1 83.199038 0.000000 64.046663
378   1 83.199038 0.000000 68.049579
379   1 83.199038 0.000000 72.052496
852   1 58.932652 0.000000 46.033539
853   1 58.932652 0.000000 50.036455
854   1 58.932652 0.000000 54.039372
855   1 58.932652 0.000000 58.042288
856   1 58.932652 0.000000 62.045205
857   1 58.932652 0.000000 66.048121
858   1 58.932652 0.000000 70.051037
859   1 58.932652 0.000000 74.053954
882   1 65.865905 0.000000 46.033539
883   1 65.865905 0.000000 50.036455
884   1 65.865905 0.000000 54.039372
885   1 65.865905 0.000000 58.042288
886   1 65.865905 0.000000 62.045205
887   1 65.865905 0.000000 66.048121
888   1 65.865905 0.000000 70.051037
889   1 65.865905 0.000000 74.053954
912   1 72.799159 0.000000 46.033539
913   1 72.799159 0.000000 50.036455
914   1 72.799159 0.000000 54.039372
915   1 72.799159 0.000000 58.042288
916   1 72.799159 0.000000 62.045205
917   1 72.799159 0.000000 66.048121
