Generated by pymatgen.io.lammps.data.LammpsData

19  atoms

 1  atom types

0.000000 48.867325  xlo xhi
0.000000 2.468171  ylo yhi
0.000000 44.335609  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.845

Atoms

39   1 20.943139 19.128327 19.535507
40   1 20.943139 19.128327 23.566016
50   1 27.924186 19.128327 19.535507
51   1 27.924186 19.128327 23.566016
115  1 24.433663 19.128327 17.520252
116  1 24.433663 19.128327 21.550761
117  1 24.433663 19.128327 25.581271
192  1 22.106646 20.773774 17.520252
193  1 22.106646 20.773774 21.550761
194  1 22.106646 20.773774 25.581271
204  1 29.087693 20.773774 21.550761
270  1 25.597170 20.773774 19.535507
271  1 25.597170 20.773774 23.566016
347  1 23.270156 19.951051 19.535507
348  1 23.270156 19.951051 23.566016
413  1 19.779630 19.951051 21.550761
423  1 26.760676 19.951051 17.520252
424  1 26.760676 19.951051 21.550761
425  1 26.760676 19.951051 25.581271

