,iter,ntrans,curvature,ediff,ediffmax
0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,0.0
2,2.0,0.0,10.234,0.002,0.002
3,3.0,0.0,10.234,0.001,0.002
4,4.0,0.0,5.684,0.001,0.002
5,5.0,0.0,5.684,0.001,0.002
6,6.0,0.0,4.199,0.001,0.002
7,79.0,10.0,1.031,0.178,0.182
8,80.0,10.0,1.031,0.189,0.189
9,81.0,10.0,1.031,0.216,0.216
10,82.0,10.0,1.022,0.205,0.216
11,83.0,10.0,1.022,0.211,0.216
12,84.0,10.0,1.051,0.205,0.216
13,85.0,10.0,1.051,0.211,0.216
14,86.0,10.0,1.042,0.205,0.216
15,159.0,20.0,0.984,0.647,0.655
16,160.0,20.0,0.984,0.67,0.67
17,161.0,20.0,0.984,0.72,0.72
18,162.0,20.0,0.981,0.7,0.72
19,163.0,20.0,0.981,0.711,0.72
20,164.0,20.0,0.986,0.7,0.72
21,165.0,20.0,0.986,0.711,0.72
22,166.0,20.0,0.985,0.7,0.72
23,239.0,30.0,0.947,1.444,1.458
24,240.0,30.0,0.947,1.481,1.481
25,241.0,30.0,0.947,1.558,1.558
26,242.0,30.0,0.944,1.527,1.558
27,243.0,30.0,0.944,1.543,1.558
28,244.0,30.0,0.946,1.527,1.558
29,245.0,30.0,0.946,1.543,1.558
30,246.0,30.0,0.946,1.527,1.558
31,319.0,40.0,0.927,2.603,2.622
32,320.0,40.0,0.927,2.654,2.654
33,321.0,40.0,0.927,2.759,2.759
34,322.0,40.0,0.925,2.717,2.759
35,323.0,40.0,0.925,2.739,2.759
36,324.0,40.0,0.927,2.717,2.759
37,325.0,40.0,0.927,2.739,2.759
38,326.0,40.0,0.928,2.717,2.759
39,399.0,50.0,0.898,4.135,4.159
40,400.0,50.0,0.898,4.199,4.199
41,401.0,50.0,0.898,4.333,4.333
42,402.0,50.0,0.894,4.279,4.333
43,403.0,50.0,0.894,4.308,4.333
44,404.0,50.0,0.895,4.279,4.333
45,405.0,50.0,0.895,4.308,4.333
46,406.0,50.0,0.895,4.279,4.333
47,479.0,60.0,0.861,6.035,6.064
48,480.0,60.0,0.861,6.113,6.113
49,481.0,60.0,0.861,6.275,6.275
50,482.0,60.0,0.856,6.21,6.275
51,483.0,60.0,0.856,6.245,6.275
52,484.0,60.0,0.859,6.21,6.275
53,485.0,60.0,0.859,6.245,6.275
54,486.0,60.0,0.859,6.21,6.275
55,559.0,70.0,0.824,8.295,8.331
56,560.0,70.0,0.824,8.387,8.387
57,561.0,70.0,0.824,8.576,8.576
58,562.0,70.0,0.82,8.5,8.576
59,563.0,70.0,0.82,8.541,8.576
60,564.0,70.0,0.821,8.5,8.576
61,565.0,70.0,0.821,8.541,8.576
62,566.0,70.0,0.821,8.5,8.576
63,639.0,80.0,0.796,10.899,10.939
64,640.0,80.0,0.796,11.003,11.003
65,641.0,80.0,0.796,11.219,11.219
66,642.0,80.0,0.794,11.132,11.219
67,643.0,80.0,0.794,11.179,11.219
68,644.0,80.0,0.794,11.132,11.219
69,645.0,80.0,0.794,11.178,11.219
70,646.0,80.0,0.794,11.132,11.219
71,719.0,90.0,0.771,13.839,13.883
72,720.0,90.0,0.771,13.954,13.954
73,721.0,90.0,0.771,14.195,14.195
74,722.0,90.0,0.768,14.099,14.195
75,723.0,90.0,0.768,14.152,14.195
76,724.0,90.0,0.769,14.099,14.195
77,725.0,90.0,0.769,14.151,14.195
78,726.0,90.0,0.769,14.099,14.195
79,799.0,100.0,0.74,17.105,17.152
80,800.0,100.0,0.74,17.231,17.231
81,801.0,100.0,0.74,17.497,17.497
82,802.0,100.0,0.736,17.39,17.497
83,803.0,100.0,0.736,17.449,17.497
84,804.0,100.0,0.736,17.39,17.497
85,805.0,100.0,0.736,17.448,17.497
86,806.0,100.0,0.737,17.39,17.497
87,879.0,110.0,0.711,20.675,20.729
88,880.0,110.0,0.711,20.815,20.815
89,881.0,110.0,0.711,21.103,21.103
90,882.0,110.0,0.709,20.988,21.103
91,883.0,110.0,0.709,21.049,21.103
92,884.0,110.0,0.71,20.988,21.103
93,885.0,110.0,0.71,21.048,21.103
94,886.0,110.0,0.711,20.988,21.103
95,959.0,120.0,0.692,24.508,24.574
96,960.0,120.0,0.692,24.665,24.665
97,961.0,120.0,0.692,24.97,24.97
